date,open,close,high,low,涨跌幅,涨跌额,volume,成交额,振幅,换手率,ma50,ma200
2026-01-19 10:10:00,5.15,5.15,5.16,5.14,0.0,0.0,18758.0,9661582.0,0.39,0.01,5.1692,5.311850000000001
2026-01-19 10:15:00,5.16,5.16,5.16,5.15,0.19,0.01,11206.0,5780968.0,0.19,0.0,5.1672,5.3104499999999994
2026-01-19 10:20:00,5.15,5.16,5.17,5.15,0.0,0.0,16178.0,8357249.0,0.39,0.01,5.1652,5.30915
2026-01-19 10:25:00,5.17,5.16,5.17,5.16,0.0,0.0,6344.0,3276369.0,0.19,0.0,5.1634,5.307800000000001
2026-01-19 10:30:00,5.16,5.18,5.18,5.16,0.39,0.02,16463.0,8515531.0,0.39,0.01,5.1617999999999995,5.30645
2026-01-19 10:35:00,5.18,5.17,5.18,5.17,-0.19,-0.01,11518.0,5958799.0,0.19,0.0,5.159800000000001,5.30515
2026-01-19 10:40:00,5.17,5.17,5.18,5.16,0.0,0.0,13430.0,6948195.0,0.39,0.01,5.159,5.30385
2026-01-19 10:45:00,5.18,5.18,5.18,5.17,0.19,0.01,5458.0,2824889.0,0.19,0.0,5.1586,5.30255
2026-01-19 10:50:00,5.18,5.17,5.18,5.17,-0.19,-0.01,8372.0,4333045.0,0.19,0.0,5.158399999999999,5.30115
2026-01-19 10:55:00,5.17,5.18,5.18,5.17,0.19,0.01,4667.0,2415297.0,0.19,0.0,5.158199999999999,5.2998
2026-01-19 11:00:00,5.18,5.17,5.18,5.17,-0.19,-0.01,2729.0,1412902.0,0.19,0.0,5.158,5.29845
2026-01-19 11:05:00,5.17,5.17,5.18,5.17,0.0,0.0,5479.0,2835103.0,0.19,0.0,5.1575999999999995,5.2970999999999995
2026-01-19 11:10:00,5.17,5.17,5.18,5.17,0.0,0.0,5564.0,2879654.0,0.19,0.0,5.1572000000000005,5.295750000000001
2026-01-19 11:15:00,5.17,5.17,5.18,5.17,0.0,0.0,2880.0,1491081.0,0.19,0.0,5.157,5.2944
2026-01-19 11:20:00,5.18,5.18,5.18,5.17,0.19,0.01,4376.0,2265966.0,0.19,0.0,5.157,5.293049999999999
2026-01-19 11:25:00,5.18,5.17,5.18,5.17,-0.19,-0.01,7113.0,3679783.0,0.19,0.0,5.1566,5.29165
2026-01-19 11:30:00,5.17,5.17,5.18,5.16,0.0,0.0,7020.0,3630928.0,0.39,0.0,5.156000000000001,5.2902
2026-01-19 13:05:00,5.18,5.19,5.19,5.17,0.39,0.02,14231.0,7373765.0,0.39,0.01,5.1558,5.2889
2026-01-19 13:10:00,5.18,5.19,5.19,5.18,0.0,0.0,5867.0,3040879.0,0.19,0.0,5.1558,5.2875499999999995
2026-01-19 13:15:00,5.18,5.18,5.19,5.18,-0.19,-0.01,2673.0,1385816.0,0.19,0.0,5.156000000000001,5.2862
2026-01-19 13:20:00,5.19,5.19,5.19,5.18,0.19,0.01,2236.0,1159145.0,0.19,0.0,5.1564,5.2849
2026-01-19 13:25:00,5.18,5.19,5.19,5.18,0.0,0.0,1766.0,915600.0,0.19,0.0,5.157,5.283599999999999
2026-01-19 13:30:00,5.18,5.19,5.19,5.18,0.0,0.0,2481.0,1286190.0,0.19,0.0,5.1574,5.2823
2026-01-19 13:35:00,5.19,5.19,5.19,5.18,0.0,0.0,3115.0,1614683.0,0.19,0.0,5.1578,5.281000000000001
2026-01-19 13:40:00,5.19,5.18,5.19,5.17,-0.19,-0.01,6478.0,3357038.0,0.39,0.0,5.158,5.2796
2026-01-19 13:45:00,5.18,5.17,5.19,5.17,-0.19,-0.01,7649.0,3961368.0,0.39,0.0,5.1579999999999995,5.278149999999999
2026-01-19 13:50:00,5.17,5.17,5.18,5.17,0.0,0.0,3877.0,2005713.0,0.19,0.0,5.1586,5.2767
2026-01-19 13:55:00,5.17,5.16,5.18,5.16,-0.19,-0.01,11351.0,5869934.0,0.39,0.0,5.159,5.275250000000001
2026-01-19 14:00:00,5.16,5.17,5.18,5.16,0.19,0.01,4049.0,2092953.0,0.39,0.0,5.159800000000001,5.2738499999999995
2026-01-19 14:05:00,5.17,5.18,5.18,5.17,0.19,0.01,1265.0,654725.0,0.19,0.0,5.1606000000000005,5.27255
2026-01-19 14:10:00,5.18,5.19,5.19,5.17,0.19,0.01,9164.0,4748155.0,0.39,0.0,5.1617999999999995,5.2713
2026-01-19 14:15:00,5.19,5.19,5.19,5.17,0.0,0.0,5323.0,2758457.0,0.39,0.0,5.162999999999999,5.27005
2026-01-19 14:20:00,5.19,5.19,5.19,5.18,0.0,0.0,2055.0,1065895.0,0.19,0.0,5.164199999999999,5.26885
